mat;dep;par;uf
147;JARBAS VASCONCELOS ; PMDB;PE
148;DANILO CABRAL ; PSB;PE
149;JOÃO FERNANDO COUTINHO ; PSB;PE
150;JORGE CÔRTE REAL ; PTB;PE
151;KAIO MANIÇOBA ; PHS;PE
152;MARINALDO ROSENDO ; PSB;PE
153;LUCIANA SANTOS ; PCdoB;PE
154;MENDONÇA FILHO ; DEM;PE
155;PASTOR EURICO ; PSB;PE
156;EDUARDO DA FONTE ; PP;PE
157;RICARDO TEOBALDO  ; PTB;PE
158;FERNANDO COELHO FILHO ; PSB;PE
159;SEBASTIÃO OLIVEIRA ; PR;PE
160;SILVIO COSTA ; PSC;PE
161;TADEU ALENCAR ; PSB;PE
162;ARTHUR LIRA ; PP;AL
163;ZECA CAVALCANTI ; PTB;PE
164;WOLNEY QUEIROZ ; PDT;PE
165;CÍCERO ALMEIDA ; PRTB;AL
166;GIVALDO CARIMBÃO ; PROS;AL
167;JHC ; SD;AL
168;MAURÍCIO QUINTELLA LESSA ; PR;AL
169;MARX BELTRÃO  ; PMDB;AL
170;PAULÃO ; PT;AL
172;PEDRO VILELA ; PSDB;AL
173;RONALDO LESSA ; PDT;AL
174;ANDRE MOURA ; PSC;SE
175;ADELSON BARRETO ; PTB;SE
176;LAERCIO OLIVEIRA ; SD;SE
177;FÁBIO MITIDIERI ; PSD;SE
178;FABIO REIS ; PMDB;SE
179;JOÃO DANIEL ; PT;SE
180;ALICE PORTUGAL ; PCdoB;BA
181;JONY MARCOS ; PRB;SE
182;AFONSO FLORENCE ; PT;BA
183;VALADARES FILHO ; PSB;SE
184;BACELAR ; PTN;BA
185;BEBETO ; PSB;BA
186;CLAUDIO CAJADO ; DEM;BA
187;JOÃO CARLOS BACELAR ; PR;BA
188;DANIEL ALMEIDA ; PCdoB;BA
189;ANTONIO BRITO ; PTB;BA
190;BENITO GAMA ; PTB;BA
191;ANTONIO IMBASSAHY ; PSDB;BA
192;ARTHUR OLIVEIRA MAIA ; SD;BA
193;CACÁ LEÃO ; PP;BA
194;ERIVELTON SANTANA ; PSC;BA
195;FÉLIX MENDONÇA JÚNIOR ; PDT;BA
196;CAETANO ; PT;BA
197;JOSÉ CARLOS ARAÚJO ; PSD;BA
198;ELMAR NASCIMENTO ; DEM;BA
199;IRMÃO LAZARO ; PSC;BA
200;JOÃO GUALBERTO ; PSDB;BA
201;JOSÉ NUNES ; PSD;BA
202;JOSIAS GOMES ; PT;BA
203;JOSÉ ROCHA ; PR;BA
204;JORGE SOLLA ; PT;BA
205;LUCIO VIEIRA LIMA ; PMDB;BA
206;JUTAHY JUNIOR ; PSDB;BA
207;JOSÉ CARLOS ALELUIA ; DEM;BA
208;MÁRIO NEGROMONTE JR. ; PP;BA
209;NELSON PELLEGRINO ; PT;BA
210;MOEMA GRAMACHO ; PT;BA
211;ROBERTO BRITTO ; PP;BA
212;MÁRCIO MARINHO ; PRB;BA
213;SÉRGIO BRITO ; PSD;BA
214;PAULO MAGALHÃES ; PSD;BA
215;PAULO AZI ; DEM;BA
216;RONALDO CARLETTO ; PP;BA
217;TIA ERON ; PRB;BA
218;VALMIR ASSUNÇÃO ; PT;BA
219;WALDENOR PEREIRA ; PT;BA
220;ULDURICO JUNIOR ; PTC;BA
221;ADELMO CARNEIRO LEÃO ; PT;MG
222;BONIFÁCIO DE ANDRADA ; PSDB;MG
223;BRUNNY ; PTC;MG
224;AELTON FREITAS ; PR;MG
225;CAIO NARCIO ; PSDB;MG
226;CARLOS MELLES ; DEM;MG
227;DÂMINA PEREIRA ; PMN;MG
228;DIEGO ANDRADE ; PSD;MG
229;DELEGADO EDSON MOREIRA ; PTN;MG
230;EDUARDO BARBOSA ; PSDB;MG
231;DIMAS FABIANO ; PP;MG
232;BILAC PINTO ; PR;MG
233;DOMINGOS SÁVIO ; PSDB;MG
234;LAUDIVIO CARVALHO ; PMDB;MG
235;MARCELO ÁLVARO ANTÔNIO ; PRP;MG
236;MARCELO ARO ; PHS;MG
237;MARGARIDA SALOMÃO ; PT;MG
238;FÁBIO RAMALHO ; PV;MG
239;MÁRIO HERINGER ; PDT;MG
240;JAIME MARTINS ; PSD;MG
242;EROS BIONDINI ; PTB;MG
243;LINCOLN PORTELA ; PR;MG
244;GABRIEL GUIMARÃES ; PT;MG
245;MISAEL VARELLA ; DEM;MG
246;JÔ MORAES ; PCdoB;MG
247;NEWTON CARDOSO JR ; PMDB;MG
248;ODELMO LEÃO ; PP;MG
250;JÚLIO DELGADO ; PSB;MG
251;LUIS TIBÉ ; PTdoB;MG
252;MAURO LOPES ; PMDB;MG
253;LEONARDO MONTEIRO ; PT;MG
254;MARCUS PESTANA ; PSDB;MG
255;LEONARDO QUINTÃO ; PMDB;MG
256;LUIZ FERNANDO FARIA ; PP;MG
257;MARCOS MONTES ; PSD;MG
258;RAQUEL MUNIZ ; PSC;MG
259;PADRE JOÃO ; PT;MG
260;RODRIGO PACHECO ; PMDB;MG
261;MIGUEL CORRÊA ; PT;MG
262;RENZO BRAZ ; PP;MG
263;PAULO ABI;ACKEL ;
264;TONINHO PINHEIRO ; PP;MG
265;SARAIVA FELIPE ; PMDB;MG
266;TENENTE LÚCIO ; PSB;MG
267;STEFANO AGUIAR ; PSB;MG
268;RODRIGO DE CASTRO ; PSDB;MG
269;ODAIR CUNHA ; PT;MG
270;WELITON PRADO ; PT;MG
271;ZÉ SILVA ; SD;MG
272;REGINALDO LOPES ; PT;MG
273;SUBTENENTE GONZAGA ; PDT;MG
274;EVAIR DE MELO ; PV;ES
275;CARLOS MANATO ; SD;ES
276;GIVALDO VIEIRA ; PT;ES
277;LELO COIMBRA ; PMDB;ES
